"","genename","logFC","logCPM","F","PValue","FDR"
"SL1344_3555","uspB",0.0346661506449004,6.5500521846968,0.0276001030846226,0.869043781998626,0.913295832098007
"SL1344_0472","SL1344_0472",0.0269762716566366,6.05644641842442,0.0270661367655235,0.870304909999882,0.914402577523777
"SL1344_4500","stjC",0.0503399302558688,4.56432631642838,0.0268658719035539,0.870781191664021,0.914465866831112
"OmrA","OmrA",0.0530188214993886,4.58020862425143,0.0268947972515639,0.870712287247915,0.914465866831112
"SL1344_4312","yjfO",-0.057589902766728,4.37743618719297,0.0267154477088265,0.871140140246874,0.914624326851029
"SL1344_0432","SL1344_0432",-0.0437890664032781,5.17252745284873,0.0265069989829044,0.871639270135597,0.914746012217792
"SL1344_3625","xylB",0.0453298487370798,5.48795542972173,0.0264932710490796,0.87167221227942,0.914746012217792
"SL1344_0881","ybjZ",0.027315622225114,7.0099795103803,0.0260543423921096,0.872730143850631,0.915494531367409
"SL1344_2120","yegU",0.0495320432166122,4.59449117704271,0.0256240074234059,0.873776283192521,0.915494531367409
"SL1344_2715","SL1344_2715",-0.0580308444668757,3.79407956287308,0.0259340106278337,0.874051535065745,0.915494531367409
"SL1344_3090","yqgA",0.0541887061044569,4.27601458736186,0.0255212474908284,0.874027422269132,0.915494531367409
"SL1344_3189","SL1344_3189",-0.0604232918465405,7.311637761418,0.0260542415304027,0.873248101340842,0.915494531367409
"SL1344_4234","melR",-0.0664795461982344,3.92691130551186,0.0255562093356302,0.87394191948814,0.915494531367409
"SL1344_4246","SL1344_4246",0.0626749965267713,4.09258807193093,0.0255918691926363,0.873854771456918,0.915494531367409
"SL1344_4401","miaE",-0.0351712504256643,5.63739511411952,0.02583117762101,0.873271538319777,0.915494531367409
"SL1344_0927","ycbC",0.0607927836618004,4.02856304925746,0.0250317838833049,0.875230825221344,0.916293095421059
"SL1344_2115","SL1344_2115",0.0618316424845449,3.95487923724109,0.0250329530591104,0.875227936354762,0.916293095421059
"SL1344_2861","sipA",0.0353142046232247,6.98527590661392,0.0248925163315715,0.875653893480406,0.916517741842825
"SL1344_1880","yecC",0.0354825236984951,5.20986199040852,0.0258068931329616,0.875968757301874,0.916629054296367
