"","logFC","logCPM","F","PValue","FDR","genenames"
"SL1344_2243",-1.49480345087117,3.92853998858953,8.68801739427265,0.00579402149712357,0.0192535395233224,"SL1344_2243"
"SL1344_3212",-0.829355395031707,5.43835321211484,8.68134548029309,0.00579123765569976,0.0192535395233224,"tdcG"
"SL1344_3154",0.361734337209366,7.67541142886443,8.67356835759559,0.00581085837173835,0.01929345423124,"ygiN"
"SL1344_4268",0.481052058888949,7.95809552365388,8.66745966475728,0.00582631991392533,0.0193301904465025,"yjeI"
"STnc150",0.791449440697438,5.19218804065612,8.65813284202305,0.0058500120812621,0.0193941576992671,"STnc150"
"SL1344_1403",-0.758509940967253,5.4069338351304,8.64602014945779,0.00588093555805175,0.0194526656984165,"SL1344_1403"
"SL1344_2126",-1.75180819895575,3.37009061516812,8.64832611557398,0.00587503496473273,0.0194526656984165,"stcD"
"SL1344_4015",1.11567043811809,4.10816702450495,8.64714027552699,0.00587806854237977,0.0194526656984165,"SL1344_4015"
"SL1344_2798",0.486027297803677,6.93287630406555,8.62786358377396,0.00592761827146024,0.0195923382867212,"emrR"
"SL1344_3051",0.820590446554424,5.03464395187713,8.62230473513989,0.00594199021532164,0.0196250856397851,"SL1344_3051"
"SL1344_1313",-0.745769703570745,5.24506991340407,8.62033353091433,0.00594709558803342,0.0196272013551013,"orf48"
"SL1344_0329",-1.70940609068135,3.28312224897986,8.5960278623704,0.00601043546679029,0.0198065024827662,"SL1344_0329"
"SL1344_2901",-1.27173100201225,3.78246834835525,8.59773217332952,0.00600597053695788,0.0198065024827662,"SL1344_2901"
"IsrM",-1.64987725932175,3.27738054955332,8.57854668346867,0.00605643885005743,0.0199431499512003,"IsrM"
"SL1344_1147",0.766929405213468,5.64871466485227,8.57585224348297,0.00606356310912019,0.0199516642422847,"ycfP"
"SL1344_0190",0.46166845706028,7.18758356488858,8.57049630187966,0.00607775128809659,0.0199833916697626,"hrpB"
"SL1344_3497",-1.3669706259256,3.88350158061727,8.56059556935944,0.00610407286643529,0.0200549359647605,"SL1344_3497"
"SL1344_1698",1.04561829460706,4.27137945293903,8.54688040835465,0.00614073783840891,0.0201603312454411,"chaB"
"SL1344_0325",-1.2217003630807,4.24149425381387,8.53904454981789,0.00616179173587184,0.0201992814846328,"leuD2"
"SL1344_1894",-0.650116725256691,5.77111699737687,8.53921626311484,0.0061613295350164,0.0201992814846328,"yedE"
"SL1344_P1_0073A",-1.05372140488463,4.26042258003327,8.5299739574361,0.00618626010254464,0.0202643810810628,"SL1344_P1_0073A"
"SL1344_4501",-0.682220696346954,5.36724865962733,8.51194153770958,0.00623521409779544,0.0204095317750624,"SL1344_4501"
"SL1344_1548",-0.887921136656041,4.45341367576434,8.50827254369929,0.00624522547213499,0.0204119042197066,"SL1344_1548"
"SL1344_3197",0.562479074808076,6.60741547276711,8.50913754875938,0.00624286362706209,0.0204119042197066,"ygjT"
"SL1344_2630",-0.433688236644868,7.42144036145127,8.50484405896735,0.00625459619630837,0.0204273438922523,"yfiN"
"SL1344_3444",-0.407673581796903,6.5776983936404,8.49311162193305,0.00628677775473576,0.0205172049070664,"cysG"
"SL1344_2421",-1.79164163749829,3.20294155867677,8.45099649874058,0.00640377163626575,0.0208835164043207,"eutB"
"SL1344_1355",-1.47786845764362,3.80852777193172,8.4297440207342,0.00646369650869021,0.0210633134560431,"ssaT"
"SL1344_3180",0.586888142816097,6.4221219029429,8.42636016529796,0.00647329334358441,0.0210789611395534,"ygiH"
"SL1344_2697",0.522799942323625,6.40653987345467,8.42020254823727,0.00649079606230502,0.0211203105032516,"SL1344_2697"
"SL1344_0365",-1.2025256077246,3.97744501240549,8.41667961849677,0.00650083268530659,0.0211373228436448,"prpD"
"SL1344_0459",0.810972928738792,5.22158323945631,8.40583448006353,0.00653183472153099,0.0212224282600519,"ybaY"
"SL1344_2334",0.464196524731824,7.29903235832167,8.4006811086434,0.00654662187488769,0.0212547634874493,"folC"
"SL1344_2982",0.403734311589776,7.18834677625781,8.39357735352256,0.00656706450577535,0.0213053989427221,"nudH"
"SL1344_0699",-1.64947865852557,3.3395273613222,8.39126867421463,0.00657372300843081,0.0213075299077534,"SL1344_0699"
"SL1344_1418",-0.601667389136539,6.98327207694064,8.41648796915082,0.00657741539691115,0.0213075299077534,"mlc"
"SL1344_0185",0.384157413699201,8.77260723594476,8.37560811169259,0.00661908194532064,0.0214267188745431,"pcnB"
"SL1344_1838",0.835972273510378,4.78689245171663,8.37372532105545,0.00662455783788931,0.0214286653829002,"yecE"
"SL1344_4496",0.347877999504796,8.27256467673282,8.36955458954706,0.00663670530915375,0.0214521739257646,"deoB"
"SL1344_2201",0.51050228092823,9.35540162587072,8.35717193818772,0.00667291172448278,0.0215533577816505,"rplY"
"SL1344_2838",-0.645211313891764,5.58349356237214,8.3396667563926,0.00672445898907921,0.0217039072804642,"hypE"
"SL1344_1062",-0.518187670146739,6.43754319064763,8.33166417503586,0.00674816652430276,0.0217644461047945,"putA"
"SL1344_0998",-0.585432892796421,5.76748279507523,8.32687080448482,0.00676240983942714,0.021794394174576,"pyrD"
"SL1344_1060",0.513307337926653,6.22825292422855,8.32257064051035,0.00677521511796412,0.0218196671491357,"ycdC"
"SL1344_0988",-0.820898949690992,4.94837999740676,8.32008452618897,0.00678263030552056,0.0218275569714995,"SL1344_0988"
"SL1344_P3_0005",0.722698793899219,5.78930538553817,8.30753968541444,0.00682018040904345,0.0219323431442246,"SL1344_P3_0005"
"SL1344_4333",-0.780671598947034,5.36127299661354,8.29042691013068,0.00687176444007331,0.0220820734492414,"ytfF"
"SL1344_1491",-1.27692401276603,3.67787011949398,8.28413932071419,0.00689082274067124,0.0221271415398033,"SL1344_1491"
"SL1344_1516",0.980341631233256,4.65585829446745,8.27352658249385,0.0069231200448673,0.0222146246111216,"SL1344_1516"
"SL1344_0814",-1.60215105191292,4.97764463414626,8.68228142522443,0.00698406504063252,0.0223938365562513,"SL1344_0814"
"SL1344_0102",-1.1215803927998,3.89982445168602,8.24062810224098,0.00702427735372596,0.0225063580517342,"araA"
"SL1344_0490",-1.095569534844,4.67715407148593,8.2319269658397,0.00705129689135737,0.0225675955614506,"SL1344_0490"
"SL1344_1185",0.674756090282188,5.21690676530386,8.23116863102422,0.00705365702944338,0.0225675955614506,"pliC"
"SL1344_1714",-1.45017197644495,3.48971969133735,8.20146538675649,0.00714677305369767,0.0228379107590027,"hyaA"
"SL1344_3509",-0.611358877681651,7.08848200629488,8.27951285309684,0.0071485362157388,0.0228379107590027,"gntR"
"SL1344_2745",-1.46217128424035,4.20710001181876,8.26663762249161,0.0072519787155003,0.0231515602275522,"SL1344_2745"
"SL1344_4470",-1.28026423493701,3.73834397047081,8.16263810521706,0.00727049062355401,0.0231938147903799,"SL1344_4470"
"SL1344_1309",-0.570531889460721,6.41084759597561,8.13701645083709,0.00735339087404692,0.0234355002359498,"ynhG"
"SL1344_3961",-1.06994595563534,4.53447698942525,8.13593471811327,0.00735691317689053,0.0234355002359498,"SL1344_3961"
"SL1344_3006",-1.62160695563746,3.48899252760125,8.11311087155327,0.00743165620376731,0.023656452332919,"stdC"
"SL1344_2591",0.883597812775659,4.04804570179902,8.10555958410496,0.00745656452125374,0.0237185655828013,"gpO"
"SL1344_0479",0.44488873957184,8.17329947297755,8.09214252158179,0.00750104326072763,0.0238427954983071,"recR"
"SL1344_0270",-1.16203944785914,4.14350699238258,8.09050426031263,0.00750649376607937,0.0238428804882116,"sciJ"
"SroG",0.422650355811113,10.4190804344101,8.07963040831456,0.00754277932492659,0.0239408360378175,"SroG"
"SL1344_1593",0.715048631133075,7.14852294910908,8.2337848469981,0.00759848764213772,0.0241002537336489,"ynaJ"
"SL1344_4112",-0.421811368293933,7.8463986390301,8.06070276867785,0.00760639096909463,0.0241079269647729,"hydH"
"SL1344_3586",0.677310989463687,5.85835464926829,8.05232834633085,0.00763471955409836,0.0241802789335853,"yhjR"
"SL1344_4136",-1.34799480357503,3.80654249271887,8.04675525409985,0.00765363484150869,0.0242227348907647,"SL1344_4136"
"SL1344_3614",0.952477995667815,4.25397009562985,8.03434721177376,0.00769592958323531,0.0243390693869802,"yiaG"
"SL1344_1937",-0.999299786073013,4.19131108373647,8.02281482685887,0.00773546509262015,0.0244409302314798,"SL1344_1937"
"SL1344_3397",0.359553582114202,10.8952871903089,8.02083539856381,0.00774227295110295,0.0244409302314798,"rplN"
"SL1344_3986",0.605461965462968,5.80769379858884,8.02009616231078,0.00774481706379695,0.0244409302314798,"fdhD"
"SL1344_0419",0.448520893141874,7.45362753785003,7.99873244899862,0.0078187312809032,0.0246564868800936,"thiI"
"SL1344_0301",1.29881502620968,3.86404694742964,7.98866174466181,0.00785383689869869,0.0247494387144656,"SL1344_0301"
"SL1344_4292",-0.3840930058481,7.30238827588469,7.98448895652197,0.00786843255917014,0.0247776715831747,"amiB"
"SL1344_4523",-0.755964343472802,5.28127306598033,7.96783830261347,0.0079269648836626,0.0249441214234651,"SL1344_4523"
"SL1344_P1_0029",-1.65313542833556,3.38939433033775,7.95077695108552,0.00798742740069142,0.025116402613333,"traK"
"SL1344_0783",-0.41634445323449,7.55812384789954,7.94644146753721,0.00800287058754386,0.025146975770438,"ybhL"
"SL1344_3505",-0.72699534030641,7.68936738487342,8.26321207418296,0.008023486560217,0.0251937477990814,"glgB"
"SL1344_0871",0.445777603515961,6.98717808110489,7.92330310625532,0.00808583582302142,0.0253714020542485,"SL1344_0871"
