"","logFC","logCPM","F","PValue","FDR","genenames"
"SL1344_1671",0.159883219974892,7.2815343548089,0.83966882477023,0.365993462026508,0.534165756662859,"yciU"
"SL1344_2471",0.139506518033679,7.9395945634565,0.838988726010708,0.366185300798092,0.534268364523204,"guaA"
"SL1344_1522",0.260009663768395,4.80605053634331,0.835859320919416,0.367069877317132,0.535381280917754,"ydcZ"
"SL1344_2148",0.345453004009487,4.08900581480968,0.835006665545297,0.367311422358426,0.535508814643379,"yohD"
"SL1344_2817",-0.221173909470993,5.16283967756474,0.834690828650444,0.367400951993729,0.535508814643379,"srlR"
"SL1344_1382",0.18113649705986,6.08901592533189,0.833596808373812,0.367711312607443,0.535783536699476,"pdxY"
"SL1344_1360",-0.135068195498444,6.46523861817001,0.832415062867563,0.368046980571519,0.535917365548988,"ydhC"
"SL1344_3815",0.215840080319196,5.3876489589682,0.832779898565495,0.367943304426192,0.535917365548988,"yidZ"
"SL1344_1017",-0.386548099478761,4.04989282402226,0.829765110490839,0.368801277331739,0.536834259164432,"yccT"
"SL1344_1534",-0.123801094913415,7.30076254557628,0.829124213667056,0.368984037460089,0.536834259164432,"ydcP"
"SL1344_1924",-0.375991960953837,3.5869841551575,0.849990947124058,0.36904302347473,0.536834259164432,"cspB"
"SL1344_0908",0.227700811107621,5.38120094164398,0.82764980864003,0.369404975399868,0.537183020793192,"SL1344_0908"
"SL1344_1365",0.239845239504584,9.25066177749036,0.834195856567076,0.369736313392671,0.537309366503862,"ydhD"
"SL1344_P1_0080",-0.201819506151209,5.32931421277042,0.826680688087665,0.36968203050199,0.537309366503862,"ccdA"
"SL1344_1741",0.212662843410337,5.88140383630672,0.820937007217114,0.371330174776773,0.539447273072933,"ycgL"
"SL1344_1797",0.291929347179404,4.59137397670949,0.818538040471857,0.37202167548565,0.540273302092803,"pagM"
"SL1344_3688",0.158551953147282,7.1257095880524,0.81809808687076,0.372148692313451,0.540279277215961,"rfaG"
"SL1344_0886",-0.439442109885838,3.88790649399904,0.81657196210608,0.372589775096391,0.540741053589876,"SL1344_0886"
"SL1344_1676",-0.228038190315995,5.14564969385592,0.813176969319455,0.373573698076917,0.541811275732803,"oppB"
"SL1344_4458",0.183122864061675,5.54421700711699,0.813392609834182,0.373511091022669,0.541811275732803,"mrr"
"SL1344_P2_0067",-0.44369659488937,3.3662345696805,0.811028456770696,0.374198302265572,0.542538171754438,"SL1344_P2_0067"
"SL1344_3175",-0.143053722007867,6.5087405630105,0.809599877529168,0.374614443262246,0.542783484700341,"ygiF"
"SL1344_3272",-0.115308171263493,8.12317959831079,0.809699116121914,0.374585513823631,0.542783484700341,"dacB"
"SL1344_1849",0.171150142140135,7.74812064356881,0.808982353913597,0.375001093491917,0.542985773053514,"flhB"
"SL1344_2358",-0.38833714322018,4.16995319466188,0.808353126509625,0.374978162870703,0.542985773053514,"fadI"
