"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"ygaP",0.0700415206320544,4.68991388038481,0.0457221419066436,0.831968336959694,0.889212936852617,0.889212936852617
"SL1344_1802",0.0614354178774286,6.34895905495404,0.0457001222248021,0.832244749517874,0.889292153349677,0.889292153349677
"SL1344_3896",-0.0829048018400963,4.08985724134094,0.0452111063474252,0.832895468199071,0.889555023858872,0.889555023858872
"argB",-0.046552884244019,5.59071435110496,0.0534030384758967,0.832891926872325,0.889555023858872,0.889555023858872
"uspB",-0.0448197614408354,6.5500521846968,0.044833491974711,0.833584072221983,0.890074224310866,0.890074224310866
"stdA",0.122768457452934,3.23324309541158,0.0446996405791854,0.83382888671653,0.890119423507981,0.890119423507981
"fdnH",-0.0792965041418766,4.11344361570126,0.0440734819182538,0.834979255975395,0.891131053476047,0.891131053476047
"modA",-0.0379278204650226,6.31710966168034,0.0434232703879302,0.836182891865107,0.891982526726283,0.891982526726283
"SL1344_4016",0.0305414465166722,7.06467945693528,0.0435197700771447,0.836003664743278,0.891982526726283,0.891982526726283
"tesA",-0.0522551354274821,5.12848548700839,0.0429589273851815,0.837048230656221,0.892281485886237,0.892281485886237
"ruvA",-0.0393711251468181,6.35649952810124,0.0430962895776872,0.836791739120943,0.892281485886237,0.892281485886237
"SL1344_3599",-0.043075333344925,5.7897450468348,0.0429461686082129,0.837072076386452,0.892281485886237,0.892281485886237
"artJ",0.082025500444676,4.28292995632691,0.0426948503039805,0.837542538024602,0.892566544765127,0.892566544765127
"thiM",-0.0919772930521408,4.18313268623906,0.0425018182987184,0.837904871484684,0.892736261523672,0.892736261523672
"ycbC",-0.0811006957440704,4.02856304925746,0.0421813377990735,0.838508335480726,0.89316274358451,0.89316274358451
"sciE",-0.0477950374506699,5.86499123091111,0.0417457599508634,0.83933237506658,0.893607440250105,0.893607440250105
"rnd",-0.041739435209423,5.93611373197723,0.0418083896851216,0.839213615086399,0.893607440250105,0.893607440250105
"SL1344_3717",0.0728229363655839,4.19026062431694,0.0414013761192614,0.839987070085598,0.894087932226704,0.894087932226704
"fadE",-0.0376097281493062,6.43295556369242,0.0407204401484965,0.841289979724043,0.894893359239053,0.894893359239053
"SL1344_1579",-0.070736787444958,4.36096734468496,0.0406868881584141,0.84135447082234,0.894893359239053,0.894893359239053
"ppk",-0.0328080813733963,7.26667788242401,0.0407317017889526,0.841268339655586,0.894893359239053,0.894893359239053
