"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"entE",0.413503504580636,8.06982145307147,1.40116914147036,0.249220525428321,0.402784349184889,0.402784349184889
"SL1344_1579",-0.432262797207099,4.36096734468496,1.37492204294963,0.249178721694314,0.402784349184889,0.402784349184889
"yoaH",-0.273386660555493,5.38284809499965,1.37211444307847,0.24965307588042,0.403335142069212,0.403335142069212
"ycbW",0.197070859603532,6.17472730750931,1.36990243182181,0.250027609816247,0.403643544896151,0.403643544896151
"ygiY",0.311007890630762,4.90165495905156,1.37026204752243,0.249966671823735,0.403643544896151,0.403643544896151
"SL1344_1422",-0.466207902703928,3.83998745894325,1.36803986116174,0.250343529888989,0.404005197280468,0.404005197280468
"chiA",0.298212229815893,5.3746950721386,1.36597103804471,0.250695027385152,0.404401343692373,0.404401343692373
"ybjG",0.223812537298275,6.22403591798718,1.56260959917272,0.250835628859082,0.404401343692373,0.404401343692373
"mviN",0.179476964628898,7.25785374398493,1.36497204444979,0.250864982768222,0.404401343692373,0.404401343692373
"SL1344_3827",-0.246149541979906,5.77489143216264,1.36355562779462,0.251106203667569,0.404641815000966,0.404641815000966
"SL1344_0794",0.348534778463101,5.23507622883709,1.36080865430316,0.251574863172473,0.405248478749063,0.405248478749063
"hflK",-0.174460414202142,8.32346069931645,1.36004481743211,0.251705378260476,0.405310198839946,0.405310198839946
"tdcC",0.379133875099822,4.8966226087038,1.35770515910731,0.252105685979991,0.405806149969989,0.405806149969989
"SL1344_1506",-0.207361520650713,7.90791755864446,1.35705166013398,0.252217641958007,0.405837757704027,0.405837757704027
"SL1344_4132",1.00130234444998,3.06378321940158,1.3551884983153,0.252537181694446,0.406203238466442,0.406203238466442
"caiF",0.337975975355187,4.64709549938053,1.35187685825238,0.25310641255013,0.406773330322405,0.406773330322405
"SL1344_4253",-0.267841051155976,5.4421073161732,1.35184013677084,0.253112733668759,0.406773330322405,0.406773330322405
"PinT",0.503823451317606,5.65611561919049,1.36561099183319,0.253169206497293,0.406773330322405,0.406773330322405
"yebE",-0.273605588602433,5.51645958662769,1.3495084649421,0.25351451166138,0.407179317962523,0.407179317962523
"yhiI",0.31190966986251,5.29812087184968,1.34805452860505,0.253765454893653,0.407433506103908,0.407433506103908
"ynfI",-0.305636559963221,5.2600310247606,1.34712611861393,0.253925859867416,0.407542197874101,0.407542197874101
"rfbH",-0.174712395195506,9.00091835021767,1.34243461611405,0.2547384055612,0.408697091550012,0.408697091550012
"yaiV",0.415563737634116,4.42506974962711,1.34123601790337,0.254946527758333,0.40888177162555,0.40888177162555
"mliC",-0.314635505846383,5.16708214463777,1.34015551850746,0.25513432916181,0.409033738510327,0.409033738510327
"yqjC",0.262383161919656,5.99986604511761,1.33677281128447,0.255723417672532,0.409828707287077,0.409828707287077
"SL1344_1738",0.69190976227382,3.29930364046339,1.33534088137444,0.255973306217232,0.410079684450055,0.410079684450055
"ybhE",-0.279717287299509,5.48922291828434,1.32857431161618,0.257158373258121,0.411828127082951,0.411828127082951
"hycI",0.582913893366293,3.5559305328116,1.32538665589916,0.257719070776173,0.412575759334325,0.412575759334325
"SL1344_0958",-0.320527803478496,4.54869854461965,1.32421627436035,0.257960166481698,0.412594563579185,0.412594563579185
"ansP",-0.205239389560206,7.65276800032686,1.32341754741779,0.258066210068401,0.412594563579185,0.412594563579185
"SL1344_1973",0.564327175849091,3.5976749693537,1.32319067543361,0.258106244277243,0.412594563579185,0.412594563579185
"relB",-0.359249321522737,4.61467720960889,1.3240721339936,0.257950745070164,0.412594563579185,0.412594563579185
"cbiF",0.508133785508188,3.76279754151767,1.32214349357084,0.258291134576506,0.412740031842356,0.412740031842356
"fliD",-0.213570550260568,8.46085445590429,1.32373987327585,0.258404792719051,0.412771609299764,0.412771609299764
"metC",0.225219901605792,5.67057769927743,1.31866613868721,0.25890631103178,0.413422500289032,0.413422500289032
"nifJ",0.200200153521342,7.02881045580857,1.31777387453869,0.25906446264332,0.413524828533055,0.413524828533055
"SL1344_2258",0.461658384725295,3.71927820009943,1.31657440048776,0.25927726108816,0.413714279398748,0.413714279398748
"cysG",-0.159230978843432,6.5776983936404,1.31560383033495,0.259449613333487,0.413839078452108,0.413839078452108
"SL1344_0550",-0.288966429608895,5.03188067801426,1.30784105511959,0.260833401373,0.415895405308563,0.415895405308563
"uhpA",-0.157615338681724,7.16819386643954,1.3070051651073,0.26098296940568,0.415983007073013,0.415983007073013
"StyR-44c",-0.164385259146622,12.2167133565585,1.30507503962798,0.261328751706054,0.416383179593989,0.416383179593989
"wcaL",0.546971616127136,3.54218631902937,1.30366597066607,0.261581557249653,0.41663497306865,0.41663497306865
"ompN",0.401642666832219,5.76108495729408,1.30972525952451,0.26227902352657,0.417594562630496,0.417594562630496
"yggA",0.350760454878099,4.84085957904156,1.29846585388637,0.26251724329841,0.417822520470605,0.417822520470605
"SL1344_2586",-0.399998598790464,4.30104275076176,1.28604310449894,0.264769978316992,0.421255455910785,0.421255455910785
"hepA",-0.155432555581438,8.36601522967126,1.27937795282974,0.265988870769046,0.422277744998456,0.422277744998456
"stbE",0.397571188237211,4.13716625955258,1.3988162549231,0.265714883820614,0.422277744998456,0.422277744998456
