"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"ycdZ",-0.0994099639059624,7.17698845101494,0.371037839035688,0.546518140078248,0.816812649274023,0.816812649274023
"nanT",-0.228016838194813,5.17677416703973,0.370786245722299,0.546653434617227,0.816812649274023,0.816812649274023
"uhpC",0.12518335326865,6.25446013722001,0.370307348100427,0.546911137089059,0.816812649274023,0.816812649274023
"SL1344_4047",-0.222546355667678,5.22268079128724,0.370106642466576,0.547019208249027,0.816812649274023,0.816812649274023
"SL1344_P1_0003",-0.126879483168139,7.84553221628337,0.371658623089747,0.546601298197345,0.816812649274023,0.816812649274023
"IsrM",-0.414181282019717,3.27738054955332,0.371694559015798,0.546165285876653,0.816812649274023,0.816812649274023
"SL1344_1760",0.204593930312351,4.48722255957674,0.36845840633644,0.547908240289114,0.81730730380419,0.81730730380419
"ung",0.0980364014904534,6.61338996977508,0.368575619501494,0.547844927136857,0.81730730380419,0.81730730380419
"SL1344_3866",-0.148307899033999,5.42337260831245,0.368649296673171,0.547805137209548,0.81730730380419,0.81730730380419
"yliB",-0.160199347555795,5.65946354705969,0.365129902034429,0.549711950368787,0.818656425323283,0.818656425323283
