"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"pflC",-0.31029228557767,5.22689552215981,2.11363309573671,0.155229632955761,0.999366524090095,0.999366524090095
"frwD",0.262982626647878,3.77409753274837,0.35912087869798,0.552996980039801,0.999366524090095,0.999366524090095
"yijO",0.10157105478407,7.24280683155255,0.290465077638009,0.593460480883897,0.999366524090095,0.999366524090095
"ppc",0.0799608980157666,7.76134564510737,0.370447256414987,0.546835826466845,0.999366524090095,0.999366524090095
"argE",-0.154899139087751,5.89663711239128,0.611615222203015,0.439633168263291,0.999366524090095,0.999366524090095
"argB",-0.233661942482916,5.59071435110496,1.26591066373053,0.268473820652563,0.999366524090095,0.999366524090095
"argH",-0.127091639859397,6.99106128317895,0.77021449051108,0.386356008427169,0.999366524090095,0.999366524090095
"oxyR",-0.0403299048907699,7.78924588477373,0.111091669764432,0.740966685968477,0.999366524090095,0.999366524090095
"yijC",-0.0510888407717456,7.5989385665461,0.134271105250143,0.716331442920579,0.999366524090095,0.999366524090095
"trmA",-0.204301599741042,8.80188370168698,2.36156401787595,0.13368123453996,0.999366524090095,0.999366524090095
"coaA",-0.228088926659297,8.80906445278014,1.63422844535345,0.209841534687373,0.999366524090095,0.999366524090095
"SL1344_4084",0.320952125949112,6.43649921517569,1.23238516527966,0.275443376776838,0.999366524090095,0.999366524090095
"tufB",-0.14837524475785,12.9842664946559,1.00852455414375,0.322403202429483,0.999366524090095,0.999366524090095
"secE",-0.189014537552133,9.18902143446362,2.21215926705026,0.146211455810577,0.999366524090095,0.999366524090095
"nusG",-0.155630399122389,10.3005635871318,1.2976097212763,0.262671703106665,0.999366524090095,0.999366524090095
"rplK",-0.0588825494499225,9.89661113242687,0.212188779142402,0.648011931143061,0.999366524090095,0.999366524090095
"rplA",-0.117131233945652,11.146235531391,0.623138815902115,0.435394527355719,0.999366524090095,0.999366524090095
"rplJ",-0.176703260082365,11.4391891013017,0.72294303038655,0.401558925760337,0.999366524090095,0.999366524090095
"rplL",-0.185530292699587,12.6291301760851,0.621274367010589,0.436669492105807,0.999366524090095,0.999366524090095
"rpoB",-0.0898049227309793,11.2089555546046,0.409079239325366,0.526755465637287,0.999366524090095,0.999366524090095
"rpoC",-0.0743190791353877,11.5318100610984,0.220583542716594,0.641616271603759,0.999366524090095,0.999366524090095
"SL1344_4094",-0.115773246182613,5.6111448594876,0.292828675005629,0.591967987110591,0.999366524090095,0.999366524090095
"SL1344_4095",-0.250263498200669,4.31259299810841,0.505170482715146,0.482120522951013,0.999366524090095,0.999366524090095
"sseK1",0.367561335928472,6.17733690199542,3.07969110620367,0.0883514958469044,0.999366524090095,0.999366524090095
"SL1344_4097",0.144378489952556,4.64882747566855,0.196061302814325,0.660744274564632,0.999366524090095,0.999366524090095
"thiH",-0.215775212582507,5.92291664217548,0.483581470510814,0.492060887630439,0.999366524090095,0.999366524090095
"thiG",0.202975273842676,4.65353277999477,0.250022660734161,0.620304055704856,0.999366524090095,0.999366524090095
"thiF",0.193231428254982,4.45956473747467,0.163267167398742,0.688975836379438,0.999366524090095,0.999366524090095
"thiE",-0.632772837459339,4.56484031913957,2.53173475352505,0.120902652736993,0.999366524090095,0.999366524090095
"thiC",-0.299869856221297,6.44154939220196,1.60739668509991,0.213535870221999,0.999366524090095,0.999366524090095
"rsd",-0.0040340094422183,5.11933990785935,0.000297504668211741,0.988516357006416,0.999366524090095,0.999366524090095
"nudC",-0.0978429774370647,7.10546412591044,0.322237959596316,0.57402317910297,0.999366524090095,0.999366524090095
"hemE",-0.0911042285832133,7.07949074129465,0.447046954078104,0.508288577162095,0.999366524090095,0.999366524090095
"nfi",0.219913208303204,6.31335334698571,1.47748402293407,0.232603651286993,0.999366524090095,0.999366524090095
"yjaG",-0.184932884332705,6.83043846362755,1.53040798422903,0.224590592402737,0.999366524090095,0.999366524090095
"hupA",-0.0738699509770956,9.92118461173269,0.254021378413954,0.617532262782365,0.999366524090095,0.999366524090095
"yjaH",0.0248205393509578,7.45148840635977,0.029734376828165,0.864124286812119,0.999366524090095,0.999366524090095
"hydH",-0.096198822844517,7.8463986390301,0.387198019134428,0.53795775208639,0.999366524090095,0.999366524090095
"purD",-0.164048705244379,7.9537812702254,1.02174905472381,0.31929724350498,0.999366524090095,0.999366524090095
"yjaB",-0.0338361778927506,10.4627697130417,0.0369303080419949,0.848758716939033,0.999366524090095,0.999366524090095
"metA",-0.380051701349596,8.03262571037033,2.38486737940174,0.134124392389967,0.999366524090095,0.999366524090095
"aceB",-0.42727913597238,8.57869194294717,2.06826942050806,0.163664553214411,0.999366524090095,0.999366524090095
"aceK",-0.321545596174312,8.04654990788189,2.19669566981252,0.1486034020712,0.999366524090095,0.999366524090095
"SL1344_4121",-0.224466493862026,7.23020580005819,1.0959436214807,0.303144731788113,0.999366524090095,0.999366524090095
"iclR",-0.134481612911265,7.3170330985773,0.685947325584391,0.413365291540305,0.999366524090095,0.999366524090095
"metH",-0.24375518898298,8.89058490616369,1.96631849502337,0.169971118979261,0.999366524090095,0.999366524090095
"yjbB",-0.219515740965239,7.00010437205786,1.28569773930973,0.264832960565466,0.999366524090095,0.999366524090095
"pepE",0.0427214823187975,5.34789441309031,0.0303816828428722,0.862668453271636,0.999366524090095,0.999366524090095
"SL1344_4126",-0.28072026603341,3.44081826630268,0.250209653395412,0.620173819459843,0.999366524090095,0.999366524090095
"SL1344_4127",0.14616990328511,6.63276293250188,0.741098275791275,0.395384462937176,0.999366524090095,0.999366524090095
"yjbC",-0.0784896158540064,7.04402965365435,0.21341554377629,0.647067788054159,0.999366524090095,0.999366524090095
"yjbD",0.0654073961185409,6.00008569551286,0.111763713944357,0.740213810781912,0.999366524090095,0.999366524090095
"SL1344_4130",-0.00378441470730444,6.45079524138441,0.00027806797166548,0.986793793101891,0.999366524090095,0.999366524090095
"SL1344_4131",0.141606348435364,5.06355013916237,0.172285007700117,0.680716038525613,0.999366524090095,0.999366524090095
"SL1344_4132",0.944529385415735,3.06378321940158,1.1728195110725,0.286499886792816,0.999366524090095,0.999366524090095
"SL1344_4134",0.0474505731188637,4.64369066136089,0.0211312836989438,0.885286640787092,0.999366524090095,0.999366524090095
