"","S1","S11","S21","genename"
"SL1344_3084",322,291,288,"trmB"
"SL1344_2622",321,281,297,"rluD"
"SL1344_3874",292,308,299,"rhlB"
"SL1344_1312",319,293,286,"pykF"
"RyhB-1",434,157,307,"RyhB-1"
"SL1344_2075",294,272,330,"galF"
"SL1344_2545",305,296,295,"lepA"
"SL1344_3615",295,272,329,"cspA"
"SL1344_1131",291,299,303,"fabD"
"SL1344_4464",320,281,292,"tsr"
"SraF",386,233,273,"SraF"
"SL1344_0433",285,323,282,"cyoE"
"SL1344_3269",316,308,265,"ftsJ"
"SL1344_3912",302,300,285,"recQ"
"SL1344_1391",330,292,263,"rnfA"
"SL1344_2191",328,259,296,"spr"
"SL1344_2616",269,300,313,"pssA"
"SL1344_0636",289,296,296,"leuS"
"SL1344_0763",282,301,296,"ybhC"
"SL1344_0813",293,304,277,"ybiT"
"SL1344_2503",283,248,340,"iscA"
"SL1344_2361",265,325,278,"vacJ"
"SL1344_4115",279,300,287,"purH"
"SL1344_1836",256,317,289,"aspS"
"SL1344_0437",296,297,268,"cyoA"
"SL1344_3933",297,307,254,"fre"
"SL1344_0907",271,284,302,"pflA"
"SL1344_3454",256,292,307,"aroK"
"SL1344_2615",264,273,317,"yfiQ"
"SL1344_1130",289,261,303,"fabH"
"SL1344_3858",269,275,309,"yifA"
"SL1344_4513",250,295,308,"rob"
"SL1344_4037",310,272,270,"yiiU"
"MicF",341,194,314,"MicF"
"SL1344_3944",256,297,291,"rodA"
"SL1344_4013",275,318,251,"cdh-a"
"SL1344_0935",278,283,281,"aspC"
"SL1344_4496",285,277,277,"deoB"
"SL1344_3389",251,325,262,"rpmD"
"SL1344_3889",276,283,276,"yifK"
"SL1344_3364",231,278,323,"acrF"
"SL1344_3142",278,289,264,"ygiR"
"SL1344_0097",230,334,266,"hepA"
"SL1344_0412",238,294,296,"nusB"
"SL1344_3873",266,279,277,"gppA"
"SL1344_0477",257,267,296,"dnaX"
"SL1344_2937",267,295,254,"relA"
"SL1344_3854",288,269,258,"yieO"
"SL1344_0479",244,281,287,"recR"
"SL1344_0120",264,266,281,"mraW"
"SL1344_0230",264,283,261,"lpxB"
"SL1344_1019",312,266,230,"yccV"
"SL1344_3277",282,254,272,"ispB"
"SL1344_4525",263,263,282,"arcA"
"SL1344_1668",292,204,311,"tonB"
"SL1344_3045",244,319,243,"pgk"
"SL1344_P1_0091",299,228,279,"SL1344_P1_0091"
"SL1344_1878",264,241,300,"yecF"
"SL1344_0680",255,281,268,"pgm"
"SL1344_0919",268,297,238,"himD"
"SL1344_0910",231,314,257,"pflB"
"SL1344_0399",261,279,259,"queA"
"SL1344_0848",246,247,303,"grxA"
"SL1344_2360",225,284,285,"fadL"
"SL1344_2381",275,257,260,"gltX"
"SL1344_3671",266,252,273,"yibP"
"SL1344_4481",333,185,273,"fhuF"
"SL1344_0476",225,326,237,"apt"
"SL1344_0171",254,287,245,"hpt"
"SL1344_0556",252,252,281,"pheP"
"SL1344_0250",264,275,243,"dkgB"
"SL1344_3533",258,259,265,"rpoH"
"SL1344_2969",272,246,263,"amiC"
"SL1344_4219",238,255,286,"gltP"
"STnc1270",260,244,274,"STnc1270"
"SL1344_1776",252,251,272,"yebR"
"SL1344_4407",243,260,271,"pepA"
"SL1344_0757",266,236,271,"ybhT"
"SL1344_1273",244,246,280,"himA"
"SL1344_0219",237,287,245,"pyrH"
"SL1344_2501",264,237,268,"hscA"
"SL1344_3865",256,260,252,"ilvA"
"SL1344_3292",236,262,269,"rpoN"
"SL1344_3370",251,229,287,"yrdD"
"SL1344_2657",236,276,254,"smpA"
"SL1344_3273",242,266,255,"obgE"
"SL1344_4472",210,286,267,"mdoB"
"SL1344_0132",246,254,260,"ftsA"
"SL1344_3478",289,226,245,"yhgI"
"SL1344_0195",296,197,265,"fhuB"
"SL1344_0901",250,265,243,"serS"
"SL1344_0812",243,225,289,"ybiS"
"SL1344_1389",217,248,288,"rnfC"
"SL1344_0223",247,271,230,"cdsA"
"SL1344_2544",254,251,243,"lepB"
"SL1344_4081",228,254,266,"murB"
"SL1344_2035",232,264,251,"yeeX"
"SL1344_2903",242,270,235,"rpoS"
"SL1344_1856",287,207,252,"cheA"
"SL1344_0624",247,271,227,"ybeD"
"SL1344_2607",269,207,269,"srmB"
"SL1344_1644A",275,224,245,"ymiA"
