"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"cadA",-0.302922081566877,6.05852314108684,2.01571298587302,0.164850212930371,0.992378856146764,0.992378856146764
"pdxJ",-0.3808549380226,4.93836657217435,2.1031577290223,0.156226480357353,0.992378856146764,0.992378856146764
"SL1344_2549",0.496973863155239,4.15835293829119,1.985529007192,0.20221548075116,0.992378856146764,0.992378856146764
"rseC",-0.330012974671863,5.17976157941176,1.95434260244527,0.171241113166939,0.992378856146764,0.992378856146764
"pheA",0.220795561274936,8.24505163994865,2.24311950872388,0.143505782815498,0.992378856146764,0.992378856146764
"recN",-0.277775851999213,7.11900782404106,2.13282881717925,0.153422362998924,0.992378856146764,0.992378856146764
"SL1344_2665",-0.436397692591778,4.60777195222916,1.93825929193763,0.172964550732163,0.992378856146764,0.992378856146764
"SL1344_2692",1.57950657276422,4.81140773262763,1.91992357473878,0.175305931846445,0.992378856146764,0.992378856146764
"SL1344_2694",1.09920138824553,3.57910660903757,1.9739615485401,0.169166475956575,0.992378856146764,0.992378856146764
"ygaF",1.01965801244513,4.0897259249103,2.21653318240382,0.146508569589753,0.992378856146764,0.992378856146764
"gshA",0.192705105205576,7.43415274102552,1.7698847801278,0.192316856696945,0.992378856146764,0.992378856146764
"gutM",0.471507029517656,4.36765928473651,2.30311861876247,0.138427428322997,0.992378856146764,0.992378856146764
"fhlA",-0.435670298410569,5.51114922255705,2.14288793811662,0.15248521444514,0.992378856146764,0.992378856146764
"spaP",0.692518031266114,4.17701816668036,1.88039681456391,0.180003726463483,0.992378856146764,0.992378856146764
"spaO",0.587388199687852,4.81015094051443,1.77711334072125,0.1914340283524,0.992378856146764,0.992378856146764
"invJ",0.920535623021098,4.48969253591594,2.36165735992659,0.136603108608034,0.992378856146764,0.992378856146764
"SL1344_2881",1.1221432654817,3.50179275444649,2.15895475668189,0.151231963407375,0.992378856146764,0.992378856146764
"ygbK",0.953283190288173,7.34478087385545,2.36426901342506,0.138918047053923,0.992378856146764,0.992378856146764
"SL1344_2899",-0.425958455187736,5.1621748761331,2.2870688739074,0.139765005994487,0.992378856146764,0.992378856146764
"nlpD",0.208459000730921,10.039486659138,2.20123435232356,0.147180457485499,0.992378856146764,0.992378856146764
"ygcF",-0.259974492968204,6.84942428086208,1.96851356930579,0.169739560436505,0.992378856146764,0.992378856146764
"barA",0.605340786052057,9.72462559200116,2.41169880068626,0.134705208695055,0.992378856146764,0.992378856146764
"recB",-0.201735648870563,6.98390998484789,1.83174838057011,0.184917543057447,0.992378856146764,0.992378856146764
"ptr",0.210133146337098,7.02607446673235,2.23658478907363,0.144071943189735,0.992378856146764,0.992378856146764
"ubiH",-0.239188039436679,6.47295032429781,2.38788230777687,0.131606057576926,0.992378856146764,0.992378856146764
"iciA",0.275335529155866,5.39502182074524,1.72194420062294,0.198298564319122,0.992378856146764,0.992378856146764
"SL1344_3055",-0.55138930326548,4.04731210936224,1.97068887649485,0.169510458115207,0.992378856146764,0.992378856146764
"pilT",0.711301920031359,5.01668390946674,2.27867771571431,0.141140979110145,0.992378856146764,0.992378856146764
"yggV",0.343031822430806,5.95792008784063,2.21108606982186,0.146306312254315,0.992378856146764,0.992378856146764
